subAU,year,value,ens,scen,rcp
rus1_sz4,2083,0.27878236693663944,ens1,Pol,2p6
rus1_sz5,2083,0.127216503786411,ens1,Pol,2p6
rus1_sz2,2084,0.1904345749454354,ens1,Pol,2p6
rus1_sz3,2084,0.25686951329313495,ens1,Pol,2p6
rus1_sz4,2084,0.25686951329313495,ens1,Pol,2p6
rus1_sz5,2084,0.11721703122599784,ens1,Pol,2p6
rus1_sz2,2085,0.17418910884887998,ens1,Pol,2p6
rus1_sz3,2085,0.23495665964963044,ens1,Pol,2p6
rus1_sz4,2085,0.23495665964963044,ens1,Pol,2p6
rus1_sz5,2085,0.10721755866558468,ens1,Pol,2p6
rus1_sz2,2086,0.16356107864956762,ens1,Pol,2p6
rus1_sz3,2086,0.2206209386003182,ens1,Pol,2p6
rus1_sz4,2086,0.2206209386003182,ens1,Pol,2p6
rus1_sz5,2086,0.10067575212598652,ens1,Pol,2p6
rus1_sz2,2087,0.15293304845025524,ens1,Pol,2p6
rus1_sz3,2087,0.20628521755100593,ens1,Pol,2p6
rus1_sz4,2087,0.20628521755100593,ens1,Pol,2p6
rus1_sz5,2087,0.09413394558638834,ens1,Pol,2p6
rus1_sz2,2088,0.14230501825094288,ens1,Pol,2p6
rus1_sz3,2088,0.1919494965016937,ens1,Pol,2p6
rus1_sz4,2088,0.1919494965016937,ens1,Pol,2p6
rus1_sz5,2088,0.08759213904679018,ens1,Pol,2p6
rus1_sz2,2089,0.1316769880516305,ens1,Pol,2p6
rus1_sz3,2089,0.17761377545238144,ens1,Pol,2p6
rus1_sz4,2089,0.17761377545238144,ens1,Pol,2p6
rus1_sz5,2089,0.08105033250719201,ens1,Pol,2p6
rus1_sz2,2090,0.12104895785231813,ens1,Pol,2p6
rus1_sz3,2090,0.16327805440306922,ens1,Pol,2p6
rus1_sz4,2090,0.16327805440306922,ens1,Pol,2p6
rus1_sz5,2090,0.07450852596759384,ens1,Pol,2p6
rus1_sz2,2091,0.11377615726805793,ens1,Pol,2p6
rus1_sz3,2091,0.15346806718361483,ens1,Pol,2p6
rus1_sz4,2091,0.15346806718361483,ens1,Pol,2p6
rus1_sz5,2091,0.0700319434277376,ens1,Pol,2p6
rus1_sz2,2092,0.10650335668379769,ens1,Pol,2p6
rus1_sz3,2092,0.14365807996416044,ens1,Pol,2p6
rus1_sz4,2092,0.14365807996416044,ens1,Pol,2p6
rus1_sz5,2092,0.06555536088788132,ens1,Pol,2p6
rus1_sz2,2093,0.09923055609953751,ens1,Pol,2p6
rus1_sz3,2093,0.1338480927447061,ens1,Pol,2p6
rus1_sz4,2093,0.1338480927447061,ens1,Pol,2p6
rus1_sz5,2093,0.06107877834802508,ens1,Pol,2p6
rus1_sz2,2094,0.0919577555152773,ens1,Pol,2p6
rus1_sz3,2094,0.12403810552525173,ens1,Pol,2p6
rus1_sz4,2094,0.12403810552525173,ens1,Pol,2p6
rus1_sz5,2094,0.05660219580816882,ens1,Pol,2p6
rus1_sz2,2095,0.08468495493101709,ens1,Pol,2p6
rus1_sz3,2095,0.11422811830579735,ens1,Pol,2p6
rus1_sz4,2095,0.11422811830579735,ens1,Pol,2p6
rus1_sz5,2095,0.05212561326831256,ens1,Pol,2p6
