year,ens,scen,rcp,value
2026,ens12,Ref,2p6,5.723198435616247
2026,ens12,Ref,8p5,5.723193660980392
2026,ens13,Pol,2p6,5.723680673837535
2026,ens13,Ref,2p6,5.723694997745098
2026,ens13,Ref,8p5,5.723733194831933
2026,ens2,Pol,2p6,5.723957602717086
2026,ens2,Ref,2p6,5.723962377352941
2026,ens2,Ref,8p5,5.723871659271709
2026,ens3,Pol,2p6,5.723909856358544
2026,ens3,Ref,2p6,5.723967151988795
2026,ens3,Ref,8p5,5.72425840477591
2026,ens4,Pol,2p6,5.723809589005602
2026,ens4,Ref,2p6,5.723833462184873
2026,ens4,Ref,8p5,5.723585181120448
2026,ens5,Pol,2p6,5.723737969467787
2026,ens5,Ref,2p6,5.723752293375351
2026,ens5,Ref,8p5,5.723699772380952
2026,ens6,Pol,2p6,5.723986250532214
2026,ens6,Ref,2p6,5.724010123711485
2026,ens6,Ref,8p5,5.723909856358544
2026,ens7,Pol,2p6,5.723790490462185
2026,ens7,Ref,2p6,5.723833462184873
2026,ens7,Ref,8p5,5.723852560728292
2026,ens8,Pol,2p6,5.723871659271709
2026,ens8,Ref,2p6,5.723871659271709
2026,ens8,Ref,8p5,5.7237570680112055
2026,ens9,Pol,2p6,5.723852560728292
2026,ens9,Ref,2p6,5.723933729537815
2026,ens9,Ref,8p5,5.723809589005602
2027,ens1,Pol,2p6,5.721723073137255
2027,ens1,Ref,2p6,5.721646678963586
2027,ens1,Ref,8p5,5.721770819495798
2027,ens10,Pol,2p6,5.720782469873949
2027,ens10,Ref,2p6,5.721083271932773
2027,ens10,Ref,8p5,5.721040300210085
2027,ens11,Pol,2p6,5.720873187955181
2027,ens11,Ref,2p6,5.721073722661064
2027,ens11,Ref,8p5,5.721111919747899
2027,ens12,Pol,2p6,5.720873187955181
2027,ens12,Ref,2p6,5.721083271932773
2027,ens12,Ref,8p5,5.721073722661064
2027,ens13,Pol,2p6,5.721546411610644
2027,ens13,Ref,2p6,5.721479566708683
2027,ens13,Ref,8p5,5.721508214523809
2027,ens2,Pol,2p6,5.721766044859943
2027,ens2,Ref,2p6,5.721703974593837
2027,ens2,Ref,8p5,5.72161803114846
2027,ens3,Pol,2p6,5.721718298501401
2027,ens3,Ref,2p6,5.721689650686274
2027,ens3,Ref,8p5,5.7219140585714285
2027,ens4,Pol,2p6,5.7216132565126046
2027,ens4,Ref,2p6,5.721589383333334
2027,ens4,Ref,8p5,5.721403172535014
2027,ens5,Pol,2p6,5.721565510154061
2027,ens5,Ref,2p6,5.721522538431373
2027,ens5,Ref,8p5,5.721489115980393
2027,ens6,Pol,2p6,5.721775594131652
2027,ens6,Ref,2p6,5.72172784777311
2027,ens6,Ref,8p5,5.721646678963586
2027,ens7,Pol,2p6,5.721598932605043
2027,ens7,Ref,2p6,5.721589383333334
2027,ens7,Ref,8p5,5.721603707240896
2027,ens8,Pol,2p6,5.721689650686274
2027,ens8,Ref,2p6,5.72161803114846
2027,ens8,Ref,8p5,5.721532087703082
2027,ens9,Pol,2p6,5.721675326778712
2027,ens9,Ref,2p6,5.721670552142856
2027,ens9,Ref,8p5,5.721565510154062
2028,ens1,Pol,2p6,5.719521966008403
2028,ens1,Ref,2p6,5.719383501568627
2028,ens1,Ref,8p5,5.71947421964986
2028,ens10,Pol,2p6,5.718600461288515
2028,ens10,Ref,2p6,5.7189681082493
2028,ens10,Ref,8p5,5.718939460434175
2028,ens11,Pol,2p6,5.718700728641457
2028,ens11,Ref,2p6,5.718953784341736
2028,ens11,Ref,8p5,5.718987206792717
